County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,14,14,1288,1460,268,38,3082
Alpine,0,0,12,1,0,0,13
Amador,0,0,23,7,0,0,30
Butte,6,0,32,20,16,2,76
Calaveras,0,0,7,0,0,0,7
Colusa,0,0,16,2,10,0,28
Contra Costa,8,0,490,656,164,7,1325
Del Norte,0,0,10,0,20,0,30
El Dorado,1,0,117,6,35,1,160
Fresno,8,0,343,333,81,14,779
Glenn,0,0,4,0,10,0,14
Humboldt,1,0,81,13,18,1,114
Imperial,0,0,8,7,12,0,27
Inyo,0,0,6,3,14,0,23
Kern,4,0,122,52,96,5,279
Kings,0,0,38,60,42,0,140
Lake,0,0,12,3,0,0,15
Lassen,0,0,4,1,0,0,5
Los Angeles,23,103,5844,11685,740,114,18509
Madera,0,0,50,19,20,0,89
Marin,12,0,408,189,70,5,684
Mariposa,0,0,8,0,8,0,16
Mendocino,2,0,95,11,21,0,129
Merced,10,0,36,37,28,3,114
Modoc,0,0,4,0,0,0,4
Mono,0,0,19,0,12,0,31
Monterey,15,0,211,68,65,1,360
Napa,1,0,275,31,39,2,348
Nevada,0,0,46,7,35,0,88
Orange,8,0,2102,2325,413,38,4886
Placer,0,1,127,116,92,3,339
Plumas,0,0,5,0,0,0,5
Riverside,7,0,816,194,334,9,1360
Sacramento,83,6,688,802,179,7,1765
San Benito,0,0,10,10,22,0,42
San Bernardino,3,0,509,470,270,45,1297
San Diego,2,3,1799,4652,263,41,6760
San Francisco,55,3,633,628,49,16,1384
San Joaquin,0,0,84,166,66,10,326
San Luis Obispo,1,0,298,104,82,1,486
San Mateo,6,16,1397,2072,225,42,3758
Santa Barbara,11,0,241,167,39,3,461
Santa Clara,11,20,2824,11526,442,90,14913
Santa Cruz,2,0,113,89,58,0,262
Shasta,0,0,23,58,10,3,94
Sierra,0,0,1,0,0,0,1
Siskiyou,0,0,20,4,39,0,63
Solano,5,0,172,102,79,4,362
Sonoma,14,0,359,231,88,3,695
Stanislaus,0,0,51,41,40,13,145
Sutter,0,0,2,9,12,0,23
Tehama,0,0,5,4,23,0,32
Trinity,0,0,4,0,4,0,8
Tulare,0,0,47,12,16,10,85
Tuolumne,0,0,30,8,9,0,47
Unknown,0,0,2,11,0,0,13
Ventura,6,0,395,326,122,19,868
Yolo,10,0,156,144,18,0,328
Yuba,0,0,9,7,0,0,16
Total,329,166,22531,38949,4818,550,67343
