County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,14,63,1635,1497,292,43,3544
Alpine,0,0,14,1,0,0,15
Amador,0,0,25,7,8,0,40
Butte,6,0,36,22,16,2,82
Calaveras,0,0,7,0,12,0,19
Colusa,0,0,16,2,10,0,28
Contra Costa,7,2,574,660,205,7,1455
Del Norte,0,0,10,0,15,0,25
El Dorado,1,0,122,6,37,1,167
Fresno,8,1,541,346,183,13,1092
Glenn,0,0,4,0,10,0,14
Humboldt,0,0,89,13,21,1,124
Imperial,0,0,8,13,12,0,33
Inyo,0,0,6,3,26,0,35
Kern,4,0,122,52,115,5,298
Kings,0,0,42,60,45,0,147
Lake,0,0,12,3,0,0,15
Lassen,0,1,4,1,0,0,6
Los Angeles,33,147,6872,11886,792,142,19872
Madera,0,0,53,19,49,0,121
Marin,7,0,440,189,87,5,728
Mariposa,0,0,8,0,8,0,16
Mendocino,0,0,110,11,25,0,146
Merced,10,2,51,37,35,3,138
Modoc,0,0,4,0,0,0,4
Mono,0,0,20,0,12,0,32
Monterey,15,0,239,80,89,1,424
Napa,0,0,312,31,41,2,386
Nevada,0,0,48,7,33,0,88
Orange,9,0,2491,2401,442,38,5381
Placer,0,1,138,114,105,3,361
Plumas,0,0,7,0,0,0,7
Riverside,7,1,882,198,325,9,1422
Sacramento,83,6,770,793,191,7,1850
San Benito,0,0,12,10,25,0,47
San Bernardino,3,3,547,511,287,44,1395
San Diego,2,5,1942,4874,297,50,7170
San Francisco,55,5,673,795,55,26,1609
San Joaquin,0,0,138,174,75,10,397
San Luis Obispo,1,0,305,104,82,1,493
San Mateo,2,36,1887,2085,233,39,4282
Santa Barbara,5,2,290,164,35,3,499
Santa Clara,9,74,3692,11755,493,96,16119
Santa Cruz,1,0,155,89,57,0,302
Shasta,0,0,25,58,7,3,93
Sierra,0,0,1,0,0,0,1
Siskiyou,0,0,20,4,32,0,56
Solano,5,0,203,101,81,4,394
Sonoma,9,0,426,245,92,17,789
Stanislaus,0,0,57,43,38,13,151
Sutter,0,0,10,9,12,0,31
Tehama,0,0,7,4,20,0,31
Trinity,0,0,4,0,2,0,6
Tulare,0,0,43,12,43,10,108
Tuolumne,0,0,32,8,10,0,50
Unknown,0,0,0,11,0,0,11
Ventura,8,0,415,325,125,19,892
Yolo,12,0,195,130,49,0,386
Yuba,0,0,9,7,0,0,16
Total,316,349,26800,39970,5391,617,73443
